replicate,species,tip_id,state,ovules,log_ovules,pollen_production,pollen_eff,psi,alpha,K,logK,omega,pollen_selection_Sz,sweep_count,filter_F
0,sp_000,0,few,55.21897849292296,4.011306707470398,4188.481837442563,83.76963674885127,0.02,0.6,1.517044303157246,0.4167639043943015,0.29112983069338283,0.5563745678661092,2,0.9488614960126387
0,sp_001,1,few,47.790332880176464,3.866823378043449,3462.3478716296663,69.24695743259333,0.02,0.6,1.4489741598204504,0.37085583006735295,0.2587649918628275,0.5110856024432894,2,0.9607220714356193
0,sp_002,2,few,38.05701448632556,3.6390854164981707,1880.8695211787106,37.617390423574214,0.02,0.6,0.9884482777042505,-0.011618961762417395,0.09980607482819752,0.0,0,0.879203107825098
0,sp_003,3,many,189.07736101153705,5.242156248833438,13628.687535815005,272.5737507163001,0.02,0.6,1.4415990854646437,0.36575297348261454,0.2645421315107979,0.505932853852212,1,1.0283279574869248
0,sp_004,4,few,46.60588723026038,3.841726868565267,2626.058848010544,52.52117696021088,0.02,0.6,1.1269215131711903,0.1194895903709163,0.15158149901742632,0.2155114698320926,0,0.9104360270986837
0,sp_005,5,few,46.75254774196806,3.844868751404177,2674.8541857099226,53.49708371419845,0.02,0.6,1.1442602873634642,0.13475839099707673,0.1510380334051489,0.2369591693805084,0,0.8649673360105676
0,sp_006,6,few,67.49080917953832,4.211991428304692,3006.620724779157,60.13241449558314,0.02,0.6,0.8909719001237568,-0.11544238946795159,0.08310863436625944,0.0,0,1.0005547337365153
0,sp_007,7,many,119.87541896495992,4.786453028212802,5112.934357399984,102.25868714799968,0.02,0.6,0.8530413326679619,-0.1589472770161395,0.06352449301736793,0.0,0,0.7622087218446617
0,sp_008,8,few,60.09341528083256,4.095900272823797,5044.496280852193,100.88992561704387,0.02,0.6,1.6788848685926459,0.5181298043283422,0.3230977848485514,0.6504405122944951,2,1.1314659108554372
0,sp_009,9,few,27.129997466497635,3.3006400332870407,2309.4173974037726,46.18834794807545,0.02,0.6,1.7024825750578358,0.5320875240745194,0.3158020529380551,0.6628356287623428,3,1.0754459447377163
0,sp_010,10,few,16.23070419672184,2.7869047691694595,1812.3494705708451,36.246989411416905,0.02,0.6,2.233235783986366,0.8034515579627888,0.43829503615275633,0.8832889300187984,1,1.136683015446679
0,sp_011,11,many,260.98226194135975,5.564452443102679,11679.110477400414,233.58220954800828,0.02,0.6,0.8950118211500979,-0.11091835280557018,0.06414161985904027,0.0,0,0.8407661636820996
